"nama","ulasan","penilaian"
"weni azizah","mohon lebih bagus bagus kedepannya, kalo toko ga bisa ngasih potongan ongkir kenapa harus tertera gratis ongkir, biar apa biar pembeli berminat gitu, terus bayar di toserba sama pajaknya skalian enakk yahh????","1"
"Haerul Mutaqin","Sangat membantu memudahkan mencari produk yang di cari","5"
"Arbain Arbain","Barangnya ORI Dan bagus, pengiriman barang cepat Dan rapi dalam mengemas barang yang dibeli","4"
"Dyan Suci","ya lumayan ada pilihan instant tapi harus hati2 dan chat tokonya dlu. trus diskonnya juga kadang bisa dipasang eh beberapa saat kemudian gabisa dipasang","4"
"Asep Suherman","Selalu Tingkatkan Performa Tokopedia dengan fitur2 keren dan simple..keren Tokopedia","5"
"agus uce","Dana pembatalan pembelian tidak dikembalikan sepenuhnya","1"
"Iwandi Wan","Kalau memang ini keberuntungan saya oke saya kasi ?? 5","5"
"Noorlya Syakieb","Sangat memudahkan untuk berbelanja dan bermanfaat sekali thanks tokepedia","5"
"Sali Akun grab","Kecewa transaksi tidak berhasil sdh 24 jam tdk ada kejelasan","1"
"Mei Diah Krismawati","Kecewa, mesen minyak goreng tropicana slim, di nutrimart, masa udah mau 2 minggu gak dateng"", hari ini baru dana di kembalikan engga utuh lagi kena potongan 16 rb, nyesel, jelek aplikasi ini, gak kaya shopee/lazada, mending unistall, daripada rugi, udah bayar duluan malah dana dikembalikan gak utuh..setan!!!!","1"
"christin sukma ariyana","selama saya menggunakan tokped g ada masalh sih ok2 aja...thx tokped belanja lebih gampang n g ribet","5"
"muhammad irfansyah putra","Pembelian barang tapi di cancel tokopedia Padahal sudah bayar melalui alfamart Mohon dikembalikan uang orang tua saya","1"
"johan resubun","1 bintang sj cukup.. Di sru google ambil hdiah 1 juta di toko pedia malah..sdh download..dan ikuti petunjuk juga..malah..arahan2 download melulu....kecewa Sangat","1"
"Yudik Wiyono","kasih bintang 4 dulu krn pengguna baru.......moga2.....siplah....","4"
"Irmawati Febriani","Nipu. katanya dapat 1,000,000 mana udah di download ga dapat apa-apa","1"
"Wahyu AyuAsha","Sy berikan bintang 5 biar lebih muantabz dan kedepannya agar menjadi yg terbaik...","5"
"Amanda Manda","Gimana caranya menggunakan vocer yg sejuta itu apa cuma tipu2 supaya didaunlod aja sih","1"
"moch hilmi","Apaan gw disuruh download katanya pengguna baru bisa belanja gratis... Ehh malah dibatalkan.katanya tidak memenuhi syarat syarat promo,udah gitu maksa suruh download","1"
"Ruslan Aja","mudah mudahan gratisan buat pengguna baru nya benar,TERIMA KASIH","5"
"Hendri K","Jaya selalu di seluruh indonesia maupun di dunia, alhamdulillah, terima kasih tokopedia????????","5"
"ahmad zarkoni","Trm ksh sdh berbagi dg kami terima kasih banyak ya semoga bermanfaat dan bisa kami gunakan dengan sebaik-baiknya amiiin dan semoga yg memberi akan di balas dg sgl kbaikan d dunia dan di akhirat kelak amin amin ya rabbal'alamin ????????????","5"
"andik hiroyuki","kalo memang ini beneran saya dapat voucher 780.000 saya kasih bintang 5,kalo ini cuman suruh instal apk, jangan harap saya percaya dg tokopedia, trimakasih","1"
"Anggi Devia's","Terima kasih toko pedia sebagai Mitra pelatihan prakerja terbaik...","5"
"Abah Avoys","Kecewa..... Bintang dua aja lah... Siytem cod bayar d tmpt nya aturan nya berat buat sy.. ( sy baru baca aturan cod nya) emang sih sy merasa udah 2X pas pesanan datang kerumah pas sy lagi ada kepentingan d luar... Masa sy harus nungguin pesanan tiba d setiap transaksi cod... Sementara sy ada urusan kerjaan d luar..padahal sy sudah nitip uang ke sodara yg ada d rumah buat bayar pesanan cod .. Skarang sy mau blanja lg pake siystem cod eeeh sdh ga bisa... Aah jd males lah.. Hapus aja dulu","2"
"Afat Dayven","Tokopedia sangat merugikan penjual, jelas2 pembeli tidak mau pakai asuransi giliran ada kehilangan penjual yang tanggung kerugian,aneh dan tidal masuk akal keputusan admin atas nama Nanda,sedangkan dari expedis masih investigasi dan belum ada ganti rugi, tapi di tokopedia sudah selesai,sangat di sayangkan sama keputusan yang sangat tidak adil dan sangat merugikan ini, bukan ambil keputusan berdasarkan fakta dari awal pembeli,","1"
"Jeffersen 01","terimakasih Tokopedia buat freegiftnya..bakal langganan nih sama Tokopedia. buat yg lain belum download Tokopedia dan sering belanja online..yuk buruan download aplikasi Tokopedia. semuanya ada disini","5"
"Fuad Wibowo Sahil","barang ud kadarluarsa atau toko yang ud g aktif itu, mendingan diblokir atau dihapus dari situs aja.","5"
"Rafli putra","Gak bisa beli yang Rp.0 bisa sebenarnya tapi voucer nya gak bisa dipakai katanya pesanan pertamamu sudah padahal itu pesanan pertama aku dibatalin oleh pihak tokopedia gara gara ada dua akun padahal ada 1 akun tokopedia cuman akun goggle aja yang 2 ??","1"
"Yulia Haimi","Kecewa, dapat voucher 780,di minta download aplikasi, yang ad Hany zonk.awas kuburan mu sempit","1"
"Denny Adrian","Banyak cancel dari Tokopedia nya ,, padahal benar benar mau beli bukan Masalah discount ,, kalau memang kalian tidak ada disc jangan kasih voucher di tiap akun,kalau memang terdeteksi 1 alamat sama, belanja ko di cancel ,kasian orang sudah tinggal check out. Kasian para pedagang nya... Php","1"
"Andi Maulana","Tak bisa COD.,dan pengantar pun bukan GOJEK","1"
"Bams Jr","Mantap sekali epribadehhh apk Toped ini,promo menariknya dan bebas ongkirnya luar biasa,barang yg di jual jg Real Pict sangat terpantau dan aman utk mengetahui Pelapak Bodong atau yg asli ??????","4"
"ocha nurrachman","Katanya dapat voucher 1.000.000.tapi mana .. Abis download malah gak ada apa apa.. Dasar aplikasi gak ada akhlak...","1"
"NAILI XII","Bintang seratus buat toped. Wlopun agak mmbingungkan dikalah ada kendala karna kurang simpel tp tanggung jawab dan perlindungan toped kepada pelanggan benar2 mendapatkan 4 jempol dari sya kedu jempol tangan dan kedua jempol kiri dan mndapatkan bintang 100 dari saya. Mntab toped terimah kasih bnyak.","5"
"Yuli Nana","Gmna ya cara ambil hadiah nya dari Tokopedia saya dapat 1.000.000 ko dah di klaim ttp ga bisa","2"
"iksan paila","Mana tuh voucher Tokopedia 1 juta. Ada ada sj ngas hadiah","1"
"Susan Pattiasina","Byak kegiatan yg menyenangkan ketika akun sya ini menjadi pengalaman dalam dunia internetan","5"
"Husnan Yasin","Saya selalu belanja di toko pedia,karena cepat barang barang nya berkualitas","5"
"Baiq Herlina","Saya selalu menyarankan kepada teman2 sekitar yg mau menyelesaikan pelatihan prakerja dengan membeli pelatihan dikokopedia, karna sangat memuaskan??","5"
"Oktaviaokta Via","Kecewa beberapa kali pesan selalu d batalkan otomais tanpa alasan yg jelas !","3"
"Yan Supriyadi","Lumayan sih, tapi kenapa setiap kali update di playstore tertulis cuma 20-30 mb tapi pas di download jadi 100-200 mb kok jadi gede banget ukuran aplikasinya.","3"
"Zavira Lifni","Saya kecwa katanya saya pemenang. Semua penipu","3"
"RONGGO_ NTR","Bagus...tingkatkan terus mutu dan layanan yg terbaik..","5"
"alya chia","tolong pihak tokopedia. saya pesan paket dengan menggunakan voucher dari tokopedia. total produk 18.198. dan saya bayar lewat alfamart, 18.198 di tambah biaya bayar alfamart menjadi 20.698. namun saat setelah saya sudah bayar, tokopedia menbatalkan pembelian saya, maksudnya apa seperti itu? saya rugi 2.500, walau ga seberapa tapi saya rugi waktu dan voucher, aneh sekali aplikasi ini, baru pertama kali belanja di tokped udah buat nyesel aja, TOLONG SAYA MINTA TANGGUNG JAWABNYA.","1"
"Rachmat Tabrani","belanja di Tokopedia barang selalu sesuai pesanan dan pengiriman tepat waktu.","5"
"Faisal Nur Rohman Effendi","Tokopedia paling best sih untuk saya. Sebagai member gold, saya selalu dapat gratis ongkir dengan potongan sampai 20rb. Tracking mudah, ada komplain pun langsung di respon. Sebagai tambahan dari saya, tolong kalo bisa untuk pesanan yang sudah pernah dipesan dan sudah di review, gak harus kasih review lagi aja. Soalnya malah jadi double di kolom review nya.","5"
"solatin es","Akusebel deh kenapa aku dapat. Vicer melulu terus kalo mau downlod harus apdet pas aku apdet ngga jadi","1"
"Her Lina","Sya juga sama ada pemberitahuan kuis yg memenangkan vocher tokopedia tp stelah sya disuruh kirim screnshotan yg memenangkan itu,dibilang bukan dari toko pedia,dan tidah pernah mengadakan kuis vocher sacam itu,tp itu kuis dari mana,di bilang disitu silahkan klaim vocer hadiah anda di tokopedia","1"
"IDA AYU PUTRI SARASWATI","Aku sangat suka berbelanja menggunakan aplikasi ini","5"
"bronx bethux","Sering sekali mendapatkan iklan kalau saya mendapatkan bonus ini lah itu lah..tpi setelah di klik DAPATKAN BONUS , satu gk ada yg benar..masih saja Indonesia ini berotak penipuan secara halus..bilang sja mau menawarkan aplikasi ini , gk perlu dgn cara iming"" dapat bonus IPHONE XS , ujung"" nya mau gk mau jta harus downloud aplikasi ini","1"
"Buka Mata","Jangan terlalu sering update,,,,sangat mengganggu","5"
"Heru Prasetyo","sangat murah, murah murah dan sangat membantu, makasih Tokopedia ????????","5"
"hilda rohmawati","Saya pengguna lama. Tapi saya tidak bisa login. Sudah saya hapus chace, instal ulang, hingga restart tapi masih tidak bisa login. Yaudah gajadi belanja pake tokped, apke yg lain aja. Orang eror terus gimana bisa belanja.","1"
"nawi thebluse","Balikin duit saya. Kenapa pesanan saya di batalkan. Balikin duit saya sebesar rp. 271.000","1"
"Yanes Alfian Lasut","Dapat voucher 780 ribu, dibuka applikasiny minta update, setelah selesai vouchernya entah kemana dan gimana.. Akal2an saja biar diupdate??????","1"
"Marhi Mukhamad","Barang barangnya sesuai pesanan, sukses terus tokopedia","5"
"Wawan Ahmad","Customer service ngga bisa di hubungi, sebagai pelapak di rugikan tidak bisa memberi solusi","1"
"M Boody","Gagaaaal... Transaksi di batal kan tp dana yg di bayar kan melalui virtual acount,, entah kemna.. Di hubungi ke bagian care nya tidak ada solusi... Hilang sudah uang segitu gitu nya.. Kecewaaa... Betahun tahun pake toped... Namun mengecewakan","5"
"Ary Susanto","Menurut saya..Tokopedia paling mantap dan Top..Membatalkan transaksi sangat mudah dan yang paling utama soal Onkir nya bro..Sangat murah sekali ( Bebas onkir ) ini yang bikin Tokopedia lebih unggul..","5"
"paulinus adi saputra","pelayanan sangat bagus","5"
"Miftakul Fikri","Jancooooook mau mu ap coook saya kok di bikin ribet kayak gini kemaren susa melakukan traksaksi pembelian di batalkan pihak toko dn saldo ilang ... Suruh login dengan nomer yang benar dan kode nya malah ngisi data lagi mulai nol semua coook. Mau urusan ke proses hukum ta pihak toko pedia in kalu ia ok saya urus sekrang juga atas penggelapan saldo dan lainy atas pemebelian di toko pedia in.","1"
"Andrn Marwoto","Mau bayar pesanan pakai gopay g bisa..trus ngapain gunanya merger sama gojek apa?","3"
"Iranisa Nurkhairani","Aplikasi ini jelekkkk pokoknya nyesel kalau download!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!'!!!!!!!!!!!!!!!!!!!!!!!","1"
"ARYO PAMUNGKAS","joss ... tapi knp skrg aplikasi ini sering lemot ya loading lambat padahal wifi di rumah saya 10 mbps","5"
"Muhammad Novian","Semoga hadiah claim 1 juta nya benarkah ada di Tokopedia","4"
"User Oppo","NYESEL BANGET DOWNLOAD TOKOPEDA, KENAPA GA AKU PAKE DARI DULU SIHHHH. SUKA BANGET SAMA FITUR² NYA, BANYAK PROMO & DISKON ( PLEASE JANGAN SAMPE BERKURANG HEHE) SUKSES TERUS","5"
"Haerul Idoel","Aplikasi anjg katanya 0rp tenyata masih bayar ongkir!, Palukka mending download shopee !!!","1"
"Muhammad Rizqy Rizqy","Downloadnya berhasil. Tp, GK ada aplikasinya di hp ??????... Jd klo mau buka tokpednya hrus ke playstore dlu,ketik dlu klo sdh muncul Bru bisa di buka ????????... Gmn??? Ada yg samakh?? Mungkin aku yg slh, GK PP kok di slhin ??. Bhay ??","1"
"Lina Bt ali","Wahhhh tokopedia emang tempat belanja online yang lengkap dan keren","5"
"Rahayu Manis","Saya suka dengan gratis ongkir jadi semangat beli terus","5"
"siti Aisyah","Ini bagaimana ceritanya, saya sudah melakukan pembayaran di indomaret tpi pesanan saya dibatalkan, trus uang yg sudah saya bayar bagaimana ?","1"
"Siwi Suri","jelas jelas pengguna baru, eh pesanan dibatalkan sistem??","1"
"Aminah 05","Coba dong ...Sy pingin kenalan SM toko pedia biar bisa selalu dan selalu.....selalu bisa.","5"
"mherlintias lestari","Proses KLAIM ASURANSI SANGAT LAMA untuk barang bermasalah, begitu pula dengan penyelesaian transaksi dana diteruskan ke saldo penjual dengan waktu 2x24jam (terlalu lama) padahal itu modal untuk diputar kembali","1"
"Bilthan Channel","aplikasinya bagus,tapi katanya aku bisa dapet uang 1,000,000 tapi,GB dikt lagi jadi gak dapet tapi bagus","3"
"I Rene","Yang paling berkesan adalah klu pakai tas yang bangus sekali","5"
"Soraayaa Pasmuhi","saran. tokped care nya jangan booth dong. tidak mengatasi masalah buang waktu. disambungkan ke CS nya pun CS memberi jawaban tidak sesuai masalah. mohon maaf menurut saya alur tokped care terlalu berbelit-belit jadi malas untuk tanya atau komplain karena sudah berbelit-belit lama juga. maaf. saya tulis ulasan ini juga bukan karena saya benci tapi saya ingin tokped aplikasi anak bangsa semakin berkembang. paling tidak semoga bisa setara dgn apl oren. itu saran saya semoga direalisasikan","2"
"Midflutt Gaming","Tokopedia itu keren, tpi penjualnya banyak yg brengsek, mulai salah kirim produk, sampe lelet ngirim barang, order sore , 2 hari kemudian baru dikirim gila masih jabodetabek barang baru diterima total order 5 hari, udah kaya di luar pulau jawa aja, gak sih padahal pake sistem penjemputan paket. Males, uninstall lah","1"
"MIFTAHUS SURUR","Dapat notif untuk segera aktivasi MODAL TOKO, setelah mengisi data ternyata ditolak, padahal udah seneng, rencana mau buat ngisi toko fisik di rumah yg masih kosong. Fiuh!!!","3"
"soni irianto","mantafff terima kasih. semoga lancar jaya buat penjual dan tokopedianya","5"
"Jimmy Cass","Setelah diupdate ,sama skali gk bs transaksi Pembayaran pakai Ovo, Virtual Bank, dan semuanya. Kok makin PARAH aplikasi ini now","1"
"Faisal umar Zeha","Ini perlu banget sih diperhatiin sama developer aplikasinya. Ini bikin saya bingung sama panik. Didetail transaksi pembayaran top up pulsa 'tidak bisa cek nomer yang akan di isi' . Kebayang kalo ngisiin nomer lain dengan nominal Gede tapi ga bisa cek nomernya setelah pencet pembayaran(via alfa/indomart) panik kalo salah ngetik, tapi ga bisa cek ulang makin panik. Notif email pun ga tertera nomer tujuan . Tolong di atasin .","4"
"Sri Darwini","cepat mengatasi masalah yang terjadi pada konsumen terimakasih Tokopedia ????","5"
"CHRISTINA PHING","HATI-HATI!!! untuk memakai aplikasi TOKOPEDIA, saya tidak akan memakai aplikasi ini LAGI!!! pelayanan dan penyelesaian kendala di merchant ini SANGAT BURUK!!! Saya mengalami kejadian pembayaran tagihan kartu kredit di tgl 28/4/2021 senilai 4,327.000 dan teryata dana yg saya bayarkan di merchant ini tidak terbayar ke pihak bank, sehingga saya dikenakan bunga oleh pihak bank, Jawaban dr pihak tokopedia sampai saat ini (sebulan lebih)hanya menunggu. Saya mohon kembalikan dana saya.","1"
"Muhammad Eka Fadillah","Diskon 15 untuk pengguna baru bohong. ....","1"
"Ardy Macok","Penipu katanya ada voucher 1 juta tapi penipu","1"
"Hendra Huang","Overall bagus. Tapi tolong tambahin pilihan pembayaran via gopay. Kan ud jadian sama gojek kan? Masa gopay nya gk ada kerjasamanya. Kan lucu bgt.","3"
"Atok Atok","Kenapa kalau mau pilih pembayaran ..menu pilihanya gk keluar,tolong di bantu","1"
"agus fauzi ahmad","Support tokped untuk kemajuan Indonesia di sektor ekonomi digital..","5"
"Tanty Ikke","Semoga sllu memberikan yang terbaik untuk konsumen","5"
"willy boy","Tidak bisa menggunakan metode COD ! COD di tokopedia hanya pajangan / hanya JABODETABEK","1"
"Melga Titatu","Parah abis..mau tarik saldo refund disuruh buat kata sandi..tapi giliran buat kata sandi..ktanya akun anda sudah ada kata sandi..bikin laporan jwabannya bgtu2 aja..","1"
"hart anto","cepat mudah untuk pembayaran rekanan banyak. mantap tokopedia??????????","5"
"Juliadi Adi","Saya sudah sering belanja di toko pedia Layanannya bagus produck nya juga bagus","5"
"Sukrie 09","mau cari apa aja ada disini,belanja puas harga pas ????????","5"
"bandrik setiyono","Aplikasi bagus, tapi mohon dipertimbangkan lagi untuk menggunakan jasa antar ""anteraja"" karena pelayanan yang sangat tidak memuaskan..","5"
"Sambas matriks","sangat bagus harga terjangkau #Blanja_ditokopediaaja","5"
"Murid_Konten 77","bintang 4 dulu, kalo pelayanan memuaskan kasih bintang lebih dari 5","4"
"Zulhida Umar","kenapa bisa barang"" berlabel bebas ongkir, malah justru tetap ada rincian tagihan ongkir ketika mau check out, meresahkan","3"
"Nanang Sadewa","Anjir tokopedia,aku pengguna baru bisa beli earphon dengan harga 0,sumpah baik banget di traktir sama Tokopedia,ayo buruan belanja di tokopedia","5"
"Bayu Supardi","Sorry jadi kurang respect dengan admin tokped dalam penyelesaian masalah saya dengan penjual yang tricki,sangat berat sebelah tidak melihat semua sisi...","2"
"Toyib Eureka","PENIPUAN, PENGGUNA BARU GRATIS BELANJA ITU SEMUA HOAX, GUA UDAH DUA KALI DICOBA GAGAL TERUS!!","1"
"Aris Nuclear","Tokped gojek. Siapa yg cewek siapa yg cowok? Pake jadian? Huakakakak","5"
"Luthfi Alfansa","Wah...parah ini Saya sering transaksi disini,kenapa Tiba tiba pihak tokopedia membatalkan secara sepihak...pembayaran saya ,bagaimana ini...","1"
"Mira Nuank","Benar gak sih sya dpat blanja gratis dri tokopedia sebesar 1000.000.00","1"
"alifia rizky","Pengembalian dana tidak ada respon dari admin Tokopedia, sudah lebih dari seminggu. Sehingga dana saya tidak kembali Terimakasih yaa pengalamannya Balasan Tokped care cuma balasan dari robot, tidak ada solusi. Untuk yang sudah cocok, silakan dilanjutkan. Saya hanya menulis pengalaman apa adanya. Sehat selalu, lancar rejeki para pengembang. See you","1"
"Muhammad Hilal","Pokonya absurd lah tokped saya buat pesanan terus udah bayar tapi kenapa dibatalkan otomatis emang si saldo dikembalikan tapi si saldo itu GK bisa dipake lagi terus si diskon sama promo ongkir nya juga ilang GK balik lagi kaya olshop lain lah","1"
"Fajar Bagasty Akbar","Jasa kurir anter aja yg ada di pilihan Tokopedia ini sangat mengecewakan Pertama barang yg saya pesan lewat beberapa hari dari estimasi Kedua barang belum sampai dibilang sudah sampai Ini sangat tidak recommended. Sekarang yg ketiga lewat lagi dari estimasi yg di tentukan Sangat buruk sekali jasa ekspedisi anter aja yg di pilih oleh tokopedia","1"
"Gusli Exopets","Apakah bisa memblokir toko yg bermasalah agar tidak muncul di beranda atau pencarian?","4"
"Johan Andreas V","Biarpun tidak sempurna, tetapi Tokopedia lebih unggul dibandingkan e-commerce lainnya. Pesanmu, semoga update baru tombol / icon tidak terlalu banyak(Diringkaskan).","5"
"Johnson Kosasih","Setelah update versi baru ini tokped Malahan setiap belanja .jadi tidak bisa memotong ovo points . Dan juga cash back jadi gak ada. Kalo tidak update tokped ini.masih ada benefit cashback dan bisa potong pake ovo point .","5"
"wong jowo","pesanan dibatalkan karena melanggar T&C.. siapa yg ngasih notif siapa yg ngasih link siapa yg ngasih promo siala jg yg mematalkan.. cepeeek deh ya","2"
"Montir HP Kalbar","Kenapa setiap sampai pada menu pembayaran selalu error","1"
"Mento Aja","Sangat memuaskan belanja di Tokopedia semoga sekses..","5"
"Muth el_khudry17","kasih bintang 3 dulu, soalnya baru pertama kali pakai.","3"
"Simon Xafarius","Kok bisa saya di bilang identitas sama dengan pembeli maupun penjual? Saya beli TIDAK PAKAI PROMO apapun tidak bisa di toko yang saya mau beli!! Perlu saya pindah ke aplikasi lain????? Customer care tidak membantu sama sekali","1"
"Novita Sari","semoga bermanfaat dan bisa dapat ilmu pengetahuan nya","5"
"Amin Udin","Aplikasi akses untuk pembaca layar tuna netra,dan mudah .","4"
"Fitriana Ekawati","Aplikasi Tokopedia ini bagus, free ongkirnya lumayan gede. Produk yang dijual juga byk yg murah. Sayangnya kota dan kabupaten di seluruh Kalimantan Barat tidak termasuk dlm wilayah COD di Tokopedia. Padahal, model pembayaran COD penting sbg alternatif pembayaran yg tepat saat menghindari kerumunan antri di Indomaret n ATM saat pandemi begini.","5"
"faris pajar w.","Respon cs lama. Barang pesanan di kirim tidak sesuai jumlah. Saler menghindar hhanya membaca chat saat di tanyakan. Semaik banyak toko nakal yg tidak amanah.","1"
"R. Akhmad Jauhari","Buat topup OVO nya di permudah min terus diupdate malah keluar sendiri gimana min, kalau seperti begini gimana saya mau belaja????????????????. Tambahkan dong indomaret atau alfamart buat pembayaran kejar diskon ??????????????","5"
"Yuggra Phonecell","mantap sukses terus buat toko pedia","5"
"Irfan Helmi","terimakasih tokopedia ,sangat puas","5"
"Charlie Langi","Katanya di traktir,tapi ongkirnya buset.gemana coba ceritanya.pengguna baru free (di traktir).tapi disitu ongkir batas pemakaian 50rbu baru free. Brarti habis download harus blanja dulu.dan berarti lain traktir namanya. Sorry.sblmnya?? Selasa.15-juni-2021 20:42 Wita Samarinda.kalimantan timur { Iven traktir toko pedia bagi pengguna baru }","1"
"Zuko Kun","Tolong dong buat search nya dibikin relevan lagi sama kata pencarian, masa search nya apa muncul apa gajelas!!!! Buat yg laen si ok² aja cuman itu aja menurut saya","2"
"keyla puri","Saya yakin ini penipu","1"
"agus kosasih","hadiah selalu berupa kupon yang tidak dibutuhkan... payah.","2"
"vila agisna","Aku download app ini untuk robux roblox gratis katanya bisa kok ternyata gak bisa pembohong ini!!!?????????? Saya tidak suka unistal aja lah kan bisa di shopee juga bisa beli robux nya di itemku aja lah???????????? aku kecewa besarr!!! Habis in GB aku aja sih???????? apa lihat kebawah kan udah bilang app ini jelek!!??????????","1"
"indri choerunnisa","jangan sering sering update dong. terus harganya dimiringin dong bersaing sama online shop sebelah yg harganya lumayan murah murah dan terpercaya. maju terus tokopediaaaa.....","3"
"Andhika prasetya","kecewa banyak penjual tipu tipu.. awal chat respon cepat ketika sudah diorder dan dilakukan pembayaran terus slow respon bahkan menghilang. sehingga kita membuang waktu untuk sampai menunggu batas waktu tertentu untuk dapat uang kembali.","1"
"iceu veronika","Tokped mantap..bayar2 jd lebih mudah","5"
"Damar Wulan","Saya kasih bintang lima dulu ya Karna saya orang baru, baru pertama mendownlod toko pedia","3"
"Lusia femmy Monoarfa","Sy senang belanja di Tokopedia, selain ada potongan harga ada juga potongan ongkir. Insyaallah kedepannya ongkirnya 0 rupiah untuk pelanggan di desa2.","5"
"Edangsuriadi Suriadi","Saya masih belum mengerti,saya kasih bintang 4 dulu nanti klo saya sudah paham saya kasih 5 bintang","4"
"Keylasha Anindita","seneng banget belanja di Tokopedia, the best Tokopedia","5"
"Hendra Hendrawan","Mau coba.. tapi saya setiap download aplikasi pasti saya kasih bintang 5.. klo ada bintangnya ada 7.. pasti saya kasih 7 juga","5"
"Muhammad Afifudin","Aplikasi paling oke.. selalu nggak pake lama kalo ngasih benefit.. asal sesuai snk pasti langsung cuzz.. yang bilang toped nggak enak berarti anak baru di toped, kalo enggak ya buzzernya shopee.. ndak usah dipikirin itu mah..","5"
"Sahabat Rantau","Internetnya payah...pdhal app market place sebelah ok ok saja masalah jaringan sinyal...sering time out...pdahal sinyal full stabil..bnyak yg dikeluhkan konsumen..","1"
"Mahdian Nasution","Katanya ada vocher gratis namun sewaktu di gunakan malah di bilang nya vocher anda tidak berlaku,outo di unistal aplikasi tokopedia nya","1"
"Irfani Islami","Barangnya mahal"" bener banyak gratis ongkir nya tpi barangnya mahal sistem cod nya pun jarang yg ada","2"
"Josi Misses","suka. banyak gratis ongkir dan cashback.. dan mudah ...","5"
"Rosiandri Wijanofa","Sejak adanya TokoPoint, jadi jarang, malahan udah ngak bisa dapet OVO Point. Padahal enak kalau OVO Point bisa di gunakan di aplikasi lain ( contoh Grab Food). Kalo kayak gini, kelihatan banget maksa Point yg di dapet cuma boleh di pakai di aplikasi ini. Dahlah males, cari untung maksa banget.","1"
"FIDDIAHWATI","kecewa banget. kenapa tokped ini mempersulit ya? transaksi pembayaran dibatalkan dengan alasan manipulatif transaksi. padahal saya melakukan pembayaran sprti biasanya, yg salah apanya? dana refund memang dikembalikan, tetapi tidak sesuai dengan jumlah uang pembayaran saya. gimana mau percaya sm tokped? kenyamanan pengguna saja tidak diutamakan. saya yakin bukan hanya saya yg mengalami kendala sprti ini.","1"
"Fery Keyboardist","Aplikasi belanja online ada banyak, 1 yg saya tidak setuju dengan aplikasi ini,kenapa kalau batal berbelanja pembatalan harus di verifikasi toko?? Gk nyambung bangt,harusnya gk pake verifikasi2 lagi.kita batal beli ya udah batal","1"
"Cupu Gaming","Aneh masa dapet vocher gratis ongkir gk bisa di pake tiba2 di batalkan sepihak makasih deh unistal buat apk ini gak recomend banget","1"
"Totok Setiawan","Top markotop.. sering ada promonya, tidak harus ke mall gratis ongkir.","5"
"Andi Jamiko","Sy menyukai tokopedia karena barang2 yg sy suka ada dan murah meriah tokopedia is the bast","3"
"DAPUR MAS AGUNG","terimakasih atas traktiranya tokoped... semoga sukses selalu yaa... saya pasti jadi pelanggan setia disini karena banyak promo dan harga nya juga murah²","5"
"Suparjo","Gk ush download apl nya, baru download apl nya trs coba checkout pake voucher chashback nya g bs, tb2 di batalin gt aja, mn udh byr di alfa, ya otomatis hrs tarik dana lwt rek, udh gt kan dibatalin, pdhl bru C.O, trs hrs ny bs dong pake voucher nya lg, kan gk jd pake gr² dibatalin, eh pas cba lg ttp g bs, kt ny cmn bs 1x pke aj voucher Cashback khusus pengguna baru, udh jls2 pas C.O pertama dibatalin otomatis pihak tokped nya, emg takut rugi smpe triliunan ya? Smpe perhitungan bgt, shopee aj udh","1"
"beby beby","Sy mendapat voucher 1.000.000. Tapi ngk bisa di klaim,. ?????????? tipu2 aja ini","2"
"Kusman Pauji","Aplikasi sangat baik ,namun apakah bisa untuk penjual (dana harus dulu diterima penjual dana dari pembeli dan rekening buat penjual ditambah seperti ,linkaja,dana,gopay,ovo) apakah bisa ? Terimakasih","5"
"Alam Dede","terimakasih toko pedia semenjak ada kamu aku jadi mudah berbelanja dengan produk yg aku ingin kan","1"
"Hidup & Sejarah","2x panen telur tapi gak ada masuk sama sekali. Nunggu dan nyempetin waktu tapi sia2. Yang bener saja jangan jadi penipu","1"
"yudi akhyudin","Tolong untuk kode verifikasi akun bisa dilakukan pakai whatsapp/telegram/ aplikasi pengirim pesan asli indonesia","1"
"Rahmat Hdyt","Katanya saya akan mendapatkan hp iphon 11 secara gratis tapi ko ga bisa tolong hilang kan penipuan ini karena saya ditipu saya kasih bintang 2 dulu deh ??","2"
"Atikdea Noli","Sangat mudah untuk harga istimewa","5"
"Mclisheen Durigoza","Okay kita coba, tapi tetep optimis makanya kasih bintang 5.","5"
"Dwi Anggoro","Mitra PayLatters payah, sudah dapat limit ga bisa digunakan","1"
"Riki Hendra","Mana hadiah yang telah di bagikan kepada saya...kok gak ada..","4"
"Jeky Nor rifa'i","Apk gk jelas masa semuanya barang tidak tersedia terus mau belanja apa ???????????????????????????????????? Hapus aja","1"
"El Chanel","saya pengguna baru. pakai vocher aja ribet. sudah co, malah di batalkan. padahal kami beli loh, bukan minta !!","1"
"Ria Harmonis","semoga bisa meningkatkan wawasan yang bermanfaat demi merubah hidup saya.","5"
"roisul 3925","Mantap...sangat membantu belanja maupun bertransaksi..terimakasih Tokopedia","5"
"purwantoragil","aplikasinya bagus,saya senang dan puas namun lebih di oktimalkan lagi ea.trimakasih","4"
